model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #r #Av #A'v #it #s_it #vs_it #rej_it optimal
Lukšan-Vlček5.1 lsmr 20 8.1e-08 2.3e+03 2.4e-04 1.5e+03 61 529 529 60 33 14 13 true
Lukšan-Vlček5.2 lsmr 20 3.5e+01 7.8e+03 6.2e-03 6.9e+03 12 92 92 11 1 10 0 true
Lukšan-Vlček5.3 lsmr 20 1.5e-05 2.2e+03 1.5e-03 1.5e+03 8 48 48 7 6 1 0 true
Lukšan-Vlček5.4 lsmr 20 1.7e+00 2.4e+03 5.5e-03 5.7e+03 25 214 214 24 24 0 0 true
Lukšan-Vlček5.11 lsmr 20 2.7e-08 4.5e+00 3.3e-06 6.2e+00 8 43 43 7 7 0 0 true
Lukšan-Vlček5.12 lsmr 21 1.9e-08 4.2e+01 4.3e-06 2.7e+01 9 89 89 8 6 2 0 true
Lukšan-Vlček5.13 lsmr 20 1.8e-07 2.5e+02 2.8e-05 6.9e+01 8 37 37 7 5 2 0 true
Lukšan-Vlček5.14 lsmr 20 1.1e-03 1.6e+05 1.0e-02 5.7e+04 9 37 37 8 8 0 0 true
Lukšan-Vlček5.15 lsmr 21 4.2e-01 6.4e+06 3.3e-01 4.1e+05 17 68 68 16 10 2 4 true
Lukšan-Vlček5.16 lsmr 21 2.0e-07 5.6e+01 3.1e-05 5.2e+01 8 43 43 7 7 0 0 true
Lukšan-Vlček5.17 lsmr 21 2.0e-07 1.4e+02 3.0e-05 7.0e+01 8 44 44 7 7 0 0 true
Lukšan-Vlček5.18 lsmr 21 1.9e-09 1.5e+01 1.3e-06 7.1e+00 9 33 33 8 8 0 0 true
NZF1 lsmr 13 3.9e-15 5.0e+03 3.4e-07 9.3e+02 7 36 36 6 1 5 0 true
hs01 lsmr 2 6.5e-12 4.5e+02 1.6e-06 1.2e+03 32 113 113 31 19 6 6 true
hs02 lsmr 2 6.5e-12 4.5e+02 1.6e-06 1.2e+03 32 113 113 31 19 6 6 true
hs06 lsmr 2 2.5e-32 2.4e+00 2.2e-16 2.2e+00 2 4 3 1 0 1 0 true
hs13 lsmr 2 4.9e-31 1.0e+01 9.9e-16 4.5e+00 2 4 4 1 0 1 0 true
hs14 lsmr 2 0.0e+00 5.0e-01 0.0e+00 1.0e+00 2 4 3 1 0 1 0 true
hs16 lsmr 2 6.5e-12 4.5e+02 1.6e-06 1.2e+03 32 113 113 31 19 6 6 true
hs17 lsmr 2 6.5e-12 4.5e+02 1.6e-06 1.2e+03 32 113 113 31 19 6 6 true
