model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #r #Av #A'v #it #s_it #vs_it #rej_it optimal
Lukšan-Vlček5.1 lsqr 20 8.2e-11 2.3e+03 1.7e-04 1.5e+03 61 468 468 60 25 18 17 true
Lukšan-Vlček5.2 lsqr 20 3.5e+01 7.8e+03 6.1e-03 6.9e+03 11 82 82 10 1 9 0 true
Lukšan-Vlček5.3 lsqr 20 5.6e-06 2.2e+03 6.4e-04 1.5e+03 8 49 49 7 4 3 0 true
Lukšan-Vlček5.4 lsqr 20 1.7e+00 2.4e+03 4.4e-03 5.7e+03 29 223 223 28 28 0 0 true
Lukšan-Vlček5.11 lsqr 20 2.1e-08 4.5e+00 2.7e-06 6.2e+00 8 45 45 7 7 0 0 true
Lukšan-Vlček5.12 lsqr 21 2.2e-07 4.2e+01 2.5e-05 2.7e+01 8 67 67 7 5 2 0 true
Lukšan-Vlček5.13 lsqr 20 1.3e-07 2.5e+02 2.1e-05 6.9e+01 8 37 37 7 5 2 0 true
Lukšan-Vlček5.14 lsqr 20 8.0e-04 1.6e+05 7.5e-03 5.7e+04 9 36 36 8 8 0 0 true
Lukšan-Vlček5.15 lsqr 21 2.1e-02 6.4e+06 7.8e-02 4.1e+05 20 88 88 19 13 2 4 true
Lukšan-Vlček5.16 lsqr 21 1.4e-07 5.6e+01 2.3e-05 5.2e+01 8 45 45 7 7 0 0 true
Lukšan-Vlček5.17 lsqr 21 2.0e-07 1.4e+02 3.0e-05 7.0e+01 8 44 44 7 7 0 0 true
Lukšan-Vlček5.18 lsqr 21 1.9e-09 1.5e+01 1.3e-06 7.1e+00 9 33 33 8 8 0 0 true
NZF1 lsqr 13 1.8e-09 5.0e+03 2.3e-04 9.3e+02 7 32 32 6 2 4 0 true
hs01 lsqr 2 6.4e-12 4.5e+02 1.6e-06 1.2e+03 35 122 122 34 16 9 9 true
hs02 lsqr 2 6.4e-12 4.5e+02 1.6e-06 1.2e+03 35 122 122 34 16 9 9 true
hs06 lsqr 2 2.5e-32 2.4e+00 2.2e-16 2.2e+00 2 4 3 1 0 1 0 true
hs13 lsqr 2 2.0e-30 1.0e+01 2.0e-15 4.5e+00 2 4 4 1 0 1 0 true
hs14 lsqr 2 0.0e+00 5.0e-01 0.0e+00 1.0e+00 2 4 3 1 0 1 0 true
hs16 lsqr 2 6.4e-12 4.5e+02 1.6e-06 1.2e+03 35 122 122 34 16 9 9 true
hs17 lsqr 2 6.4e-12 4.5e+02 1.6e-06 1.2e+03 35 122 122 34 16 9 9 true
hs18 lsqr 2 6.0e-36 2.0e+00 3.5e-18 2.0e+00 3 8 8 2 0 2 0 true
hs20 lsqr 2 6.4e-12 4.5e+02 1.6e-06 1.2e+03 35 122 122 34 16 9 9 true
hs21 lsqr 2 1.5e-36 5.0e-01 1.7e-18 1.0e+00 3 8 8 2 0 2 0 true
hs22 lsqr 2 0.0e+00 5.0e-01 0.0e+00 1.0e+00 2 4 3 1 0 1 0 true
hs23 lsqr 2 9.9e-31 5.0e+00 1.4e-15 3.2e+00 2 4 4 1 0 1 0 true
hs25 lsqr 3 1.6e+01 1.6e+01 1.0e-08 1.0e-08 1 1 1 0 0 0 0 true
hs26 lsqr 3 2.6e-09 1.1e+01 1.7e-06 6.5e+00 12 39 39 11 9 0 2 true
hs27 lsqr 3 5.9e-09 2.0e+00 5.5e-06 8.3e+00 17 53 53 16 5 5 6 true
hs28 lsqr 3 4.9e-32 6.5e+00 3.1e-16 3.7e+00 2 5 5 1 0 1 0 true
hs30 lsqr 3 0.0e+00 1.5e+00 0.0e+00 1.7e+00 2 4 3 1 0 1 0 true
hs31 lsqr 3 2.6e-32 9.5e+00 2.8e-16 1.3e+01 3 8 8 2 0 2 0 true
hs32 lsqr 3 4.9e-34 3.6e+00 8.6e-17 9.9e+00 3 8 8 2 0 2 0 true
hs42 lsqr 4 0.0e+00 7.0e+00 0.0e+00 3.7e+00 2 4 3 1 0 1 0 true
hs43 lsqr 4 9.9e-31 4.0e+01 1.9e-15 1.2e+01 2 5 5 1 0 1 0 true
hs46 lsqr 5 2.1e-08 1.7e+00 2.2e-06 3.9e+00 8 34 34 7 7 0 0 true
hs48 lsqr 5 2.5e-32 4.2e+01 2.2e-16 1.3e+01 3 8 8 2 0 2 0 true
hs49 lsqr 5 6.8e-07 1.3e+02 6.2e-05 1.3e+02 8 29 29 7 7 0 0 true
hs50 lsqr 5 1.2e-06 3.8e+03 1.7e-04 6.5e+02 8 37 37 7 4 3 0 true
hs51 lsqr 5 6.7e-31 4.3e+00 1.2e-15 3.3e+00 2 5 5 1 0 1 0 true
hs52 lsqr 5 0.0e+00 2.1e+01 0.0e+00 2.4e+01 3 10 10 2 0 2 0 true
hs53 lsqr 5 1.5e-31 3.0e+00 7.0e-16 3.2e+00 2 5 5 1 0 1 0 true
hs57 lsqr 2 2.5e-03 1.5e-02 5.2e-07 8.0e-02 25 76 76 24 2 10 12 true
hs60 lsqr 3 4.7e-10 5.0e-01 4.8e-07 1.0e+00 11 46 43 10 8 0 2 true
hs61 lsqr 3 7.9e-31 8.6e+01 1.8e-15 2.2e+01 2 5 5 1 0 1 0 true
hs65 lsqr 3 0.0e+00 6.8e+01 0.0e+00 1.5e+01 3 10 10 2 0 2 0 true
hs77 lsqr 5 2.1e-08 2.0e+00 2.2e-06 3.9e+00 8 37 37 7 7 0 0 true
hs79 lsqr 5 3.8e-10 5.0e-01 3.0e-07 1.0e+00 14 75 72 13 10 0 3 true
mgh01 lsqr 2 1.1e-12 1.2e+01 6.5e-07 1.2e+02 33 114 114 32 14 9 9 true
mgh02 lsqr 2 2.4e+01 2.0e+02 3.8e-04 6.4e+02 31 99 99 30 20 0 10 true
mgh03 lsqr 2 3.5e-03 5.7e-01 7.0e-03 1.0e+04 17 53 53 16 4 5 7 true
mgh04 lsqr 2 0.0e+00 5.0e+11 0.0e+00 1.0e+06 27 87 87 26 9 15 2 true
mgh05 lsqr 2 3.3e-23 7.1e+00 4.0e-11 1.4e+01 13 43 43 12 6 4 2 true
mgh06 lsqr 2 6.2e+01 2.1e+03 4.9e-03 4.7e+04 25 80 80 24 11 0 13 true
mgh07 lsqr 3 3.1e+00 3.1e+02 8.7e-14 2.5e+02 2 4 4 1 0 1 0 true
mgh08 lsqr 3 4.1e-03 2.1e+01 1.5e-05 4.2e+01 9 34 34 8 2 6 0 true
mgh09 lsqr 3 5.6e-09 1.9e-06 1.4e-09 3.7e-03 3 8 8 2 0 2 0 true
