model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #r  #Av  #A'v  #it #s_it #vs_it #rej_it optimal
ARGTRIG  lsmr  200  8.9e-09  3.3e+01 1.6e-04 1.3e+03    9  631  631    8    0    8    0  true
BA-L16  lsmr  200  8.9e-09  3.3e+01 1.6e-04 1.3e+03    9  631  631    8    0    8    0  true
BA-L1  lsmr   57  2.3e-10  6.4e+04 2.2e-02 3.1e+05    7   34   34    6    1    5    0  true
BA-L73  lsmr 33753  2.2e+07  1.2e+08 7.7e+06 3.1e+08 10001 32592 32592 10000 9963   14   23 false
BROYDN3D  lsmr 5000  1.5e-11  2.5e+03 2.0e-05 2.8e+02    7   36   36    6    1    5    0  true
BROYDNBD  lsmr 5000  1.5e-08  6.2e+04 3.7e-04 3.9e+03   12   77   77   11    6    5    0  true
DMN15103  lsmr   99  2.4e+02  2.0e+06 3.5e+01 5.3e+07   77 1725 1725   76   28   23   25  true
DMN15332  lsmr   66  1.1e+02  2.5e+05 4.6e+00 5.8e+06  179 3298 3298  178   87   44   47  true
DMN15333  lsmr   99  7.5e+01  2.4e+05 3.8e+00 5.5e+06  171 6922 6922  170   47   61   62  true
DMN37142  lsmr   66  1.1e+02  1.3e+05 3.1e+00 3.8e+06  145 2190 2190  144  114   13   17  true
DMN37143  lsmr   99  1.7e+02  7.5e+04 3.3e+00 3.8e+06   32  137  137   31   10    9   12  true
EIGENA  lsmr 2550  1.8e-07  2.0e+04 2.9e-04 4.5e+02  100 4095 4095   99   23   41   35  true
EIGENB  lsmr 2550  6.3e-06  5.0e+01 3.7e-06 1.9e+01 1192 74133 74133 1191  361  412  418  true
EIGENC  lsmr 2652  2.4e-06  5.6e+03 8.2e-05 2.4e+02  430 53610 53610  429  121  152  156  true
INTEQNE  lsmr   12  2.4e-17  3.2e-02 7.1e-09 3.1e-01    4   14   14    3    0    3    0  true
MSQRTA  lsmr 1024  5.5e-07  4.0e+03 7.4e-05 1.7e+02   47 16071 16071   46   14   15   17  true
MSQRTB  lsmr 1024  2.2e-08  4.0e+03 1.6e-05 1.7e+02   34 6992 6992   33   10   12   11  true
SPMSQRT  lsmr 4999  1.7e-10  2.1e+03 2.6e-05 3.9e+01   13  242  242   12    5    7    0  true
YATP1SQ  lsmr 123200  1.6e-01  1.3e+09 2.3e+00 8.1e+06   20   60   60   19    4    9    6  true
YATP2SQ  lsmr 123200  3.0e-08  3.8e+09 1.3e-02 3.8e+05   35  102  102   34   21   11    2  true
