model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #r  #Av  #A'v  #it #s_it #vs_it #rej_it optimal
ARGTRIG  lsqr  200  1.1e-11  3.3e+01 7.6e-05 1.3e+03    8  654  654    7    0    7    0  true
BA-L16  lsqr  200  1.1e-11  3.3e+01 7.6e-05 1.3e+03    8  654  654    7    0    7    0  true
BA-L1  lsqr   57  1.7e-09  6.4e+04 7.1e-02 3.1e+05    7   35   35    6    1    5    0  true
BA-L73  lsqr 33753  7.4e+07  1.2e+08 5.3e+07 3.1e+08 10001 37754 37754 10000 9811   88  101 false
BROYDN3D  lsqr 5000  1.1e-10  2.5e+03 6.6e-05 2.8e+02    7   35   35    6    1    5    0  true
BROYDNBD  lsqr 5000  2.4e-07  6.2e+04 1.8e-03 3.9e+03   12   62   62   11    6    5    0  true
DMN15103  lsqr   99  1.7e+02  2.0e+06 3.8e+01 5.3e+07  174 2075 2075  173   90   40   43  true
DMN15332  lsqr   66  5.5e+02  2.5e+05 5.5e+00 5.8e+06  957 11189 11189  956  912   19   25  true
DMN15333  lsqr   99  4.7e+01  2.4e+05 5.4e+00 5.5e+06 1888 34421 34421 1887 1799   41   47  true
DMN37142  lsqr   66  1.1e+02  1.3e+05 3.7e+00 3.8e+06  114 1324 1324  113   97    5   11  true
DMN37143  lsqr   99  1.4e+02  7.5e+04 5.1e-01 3.8e+06   97  439  439   96   25   36   35  true
EIGENA  lsqr 2550  4.7e-08  2.0e+04 2.3e-05 4.5e+02   95 3943 3943   94   32   35   27  true
EIGENB  lsqr 2550  9.6e-07  5.0e+01 4.3e-06 1.9e+01  995 75269 75269  994  756  116  122  true
EIGENC  lsqr 2652  1.5e-08  5.6e+03 1.5e-04 2.4e+02  408 39554 39554  407  235   84   88  true
INTEQNE  lsqr   12  2.3e-17  3.2e-02 7.0e-09 3.1e-01    4   14   14    3    0    3    0  true
MSQRTA  lsqr 1024  2.3e-09  4.0e+03 1.7e-05 1.7e+02   36 7492 7492   35   14   10   11  true
MSQRTB  lsqr 1024  8.0e-11  4.0e+03 4.3e-06 1.7e+02   31 5290 5290   30   13    8    9  true
SPMSQRT  lsqr 4999  1.6e-13  2.1e+03 3.3e-07 3.9e+01   12  291  291   11    5    6    0  true
YATP1SQ  lsqr 123200  1.6e-01  1.3e+09 2.3e+00 8.1e+06   26   81   81   25    5   11    9  true
YATP2SQ  lsqr 123200  2.3e-08  3.8e+09 1.1e-02 3.8e+05   35  102  102   34   21   11    2  true
