model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #r #av #a'v #it #s_it #vs_it #rej_it optimal
lukšan-vlček5.1 lsmr 20 8.1e-08 2.3e+03 2.4e-04 1.5e+03 61 529 529 60 33 14 13 true
lukšan-vlček5.2 lsmr 20 3.5e+01 7.8e+03 6.2e-03 6.9e+03 12 92 92 11 1 10 0 true
lukšan-vlček5.3 lsmr 20 1.5e-05 2.2e+03 1.5e-03 1.5e+03 8 48 48 7 6 1 0 true
lukšan-vlček5.4 lsmr 20 1.7e+00 2.4e+03 5.5e-03 5.7e+03 25 214 214 24 24 0 0 true
lukšan-vlček5.11 lsmr 20 2.7e-08 4.5e+00 3.3e-06 6.2e+00 8 43 43 7 7 0 0 true
lukšan-vlček5.12 lsmr 21 1.9e-08 4.2e+01 4.3e-06 2.7e+01 9 89 89 8 6 2 0 true
lukšan-vlček5.13 lsmr 20 1.8e-07 2.5e+02 2.8e-05 6.9e+01 8 37 37 7 5 2 0 true
lukšan-vlček5.14 lsmr 20 1.1e-03 1.6e+05 1.0e-02 5.7e+04 9 37 37 8 8 0 0 true
lukšan-vlček5.15 lsmr 21 4.2e-01 6.4e+06 3.3e-01 4.1e+05 17 68 68 16 10 2 4 true
lukšan-vlček5.16 lsmr 21 2.0e-07 5.6e+01 3.1e-05 5.2e+01 8 43 43 7 7 0 0 true
lukšan-vlček5.17 lsmr 21 2.0e-07 1.4e+02 3.0e-05 7.0e+01 8 44 44 7 7 0 0 true
lukšan-vlček5.18 lsmr 21 1.9e-09 1.5e+01 1.3e-06 7.1e+00 9 33 33 8 8 0 0 true
nzf1 lsmr 13 3.9e-15 5.0e+03 3.4e-07 9.3e+02 7 36 36 6 1 5 0 true
mgh19 lsmr 11 4.4e-02 1.6e+01 7.1e-06 2.2e+01 57 507 507 56 39 5 12 true
mgh21 lsmr 20 2.2e-11 1.2e+02 3.0e-06 3.7e+02 31 110 110 30 17 7 6 true
mgh22 lsmr 20 5.5e-06 5.4e+02 4.0e-04 5.1e+02 9 44 44 8 7 1 0 true
mgh25 lsmr 10 3.7e-06 1.1e+06 5.3e-02 2.2e+06 9 25 25 8 5 3 0 true
mgh26 lsmr 10 1.4e-05 3.5e-03 6.4e-07 5.0e-02 29 245 245 28 12 2 14 true
mgh27 lsmr 10 3.1e-07 1.4e+02 7.8e-05 1.7e+02 5 14 14 4 1 3 0 true
mgh28 lsmr 10 2.0e-16 3.9e-04 4.0e-09 2.0e-02 4 35 35 3 0 3 0 true
mgh29 lsmr 10 2.4e-17 3.2e-02 7.1e-09 3.1e-01 4 14 14 3 0 3 0 true
