model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #hv #it #s_it #vs_it #rej_it optimal
arglina    cr  200 2.000e+02 1.000e+03 1.8e-13 5.7e+01    3    3    4    2    0    2    0  true
arglinb    cr  200 1.011e+02 8.353e+15 3.1e-03 1.4e+15    3    3    4    2    0    2    0  true
arglinc    cr  200 1.011e+02 8.353e+15 3.1e-03 1.4e+15    3    3    4    2    0    2    0  true
arwhead    cr 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04    6    6   11    5    0    5    0  true
bdqrtic    cr 5000 2.001e+04 1.129e+06 9.2e-01 1.5e+06   10   10   29    9    0    9    0  true
boxpower    cr 20000 4.736e-02 1.764e+05 6.9e-02 1.7e+05   11    6   22   10    2    3    5  true
  box    cr 10000 -1.865e+03 0.000e+00 3.5e-07 5.0e+01    7    7   17    6    3    3    0  true
brownal    cr  200 2.037e-08 2.010e+06 2.8e-02 5.7e+05    2    2    2    1    0    1    0  true
broydn7d    cr 5000 1.846e+03 1.760e+04 9.8e-04 1.1e+03  428  422 2239  427  414    7    6  true
brybnd    cr 5000 6.074e-08 1.249e+05 1.1e-03 7.8e+03   11   11   67   10    1    9    0  true
chainwoo    cr 4000 2.799e+03 1.445e+07 3.7e-01 4.2e+05 5656 3545 68977 5655 1435 2109 2111  true
chnrosnb    cr   50 3.192e-06 7.636e+03 2.6e-03 3.6e+03   95   53  973   94    7   45   42  true
chnrsnbm    cr   50 4.924e-08 8.633e+03 9.7e-04 4.4e+03  101   68  965  100   31   36   33  true
cosine    cr 10000 -9.999e+03 8.775e+03 3.0e-05 7.2e+01   12   12   26   11    7    4    0  true
cragglvy    cr 5000 1.688e+03 2.749e+06 1.1e-01 2.8e+05   13   13   57   12    0   12    0  true
curly10    cr 10000 -1.003e+06 -6.306e-01 3.9e-05 1.3e+02   24   21 48883   23    6   14    3  true
curly20    cr 10000 -1.003e+06 -1.344e+00 2.6e-04 3.0e+02   24   21 47039   23    6   14    3  true
curly30    cr 10000 -1.003e+06 -2.190e+00 7.5e-05 5.1e+02   26   22 48385   25    5   16    4  true
deconvu    cr   63 5.824e-08 1.104e+02 1.6e-06 1.1e+02   20   13  257   19    5    7    7  true
dixmaana    cr 3000 1.000e+00 2.850e+04 5.5e-04 1.2e+03    9    9   19    8    2    6    0  true
