model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
arglina    CG  100 1.000e+02 5.000e+02 2.1e-14 4.0e+01    3    3    4    2    0    2    0  true 
arglinb    CG  100 2.463e+01 8.629e+12 3.6e-04 2.0e+12    2    2    2    1    0    1    0  true 
arglinc    CG  100 2.613e+01 7.802e+12 1.4e-06 1.8e+12    2    2    2    1    0    1    0  true 
arwhead    CG  100 0.000e+00 2.970e+02 1.0e-06 7.9e+02    6    6   12    5    0    5    0  true 
bdqrtic    CG  100 3.788e+02 2.170e+04 1.1e-02 2.9e+04   11   11   49   10    0   10    0  true 
clplatea    CG  100 -9.145e-03 0.000e+00 2.9e-08 1.0e-01    6    6  100    5    1    4    0  true 
clplateb    CG  100 -6.201e-03 0.000e+00 1.5e-09 3.5e-02    5    5  111    4    1    3    0  true 
clplatec    CG  100 -5.114e-03 0.000e+00 6.8e-09 9.9e-02    5    5  271    4    0    4    0  true 
dixon3dq    CG  100 3.590e-11 8.000e+00 1.0e-06 5.7e+00    6    6  254    5    0    5    0  true 
dqdrtic    CG  100 9.498e-08 1.773e+05 7.3e-04 1.2e+04    6    6   13    5    0    5    0  true 
dqrtic    CG  100 1.426e+01 1.854e+09 1.0e+01 1.4e+07   15   15   41   14    0   14    0  true 
engval1    CG  100 1.091e+02 5.841e+03 8.9e-04 1.2e+03    9    9   26    8    0    8    0  true 
nondquar    CG  100 5.322e-05 1.060e+02 2.5e-04 4.0e+02   48   29  493   47   12   16   19  true 
power    CG  100 4.541e-01 2.550e+07 8.1e+00 1.2e+07   13   13   51   12    0   12    0  true 
quartc    CG  100 1.426e+01 1.854e+09 1.0e+01 1.4e+07   15   15   41   14    0   14    0  true 
tridia    CG  100 1.311e-09 5.049e+03 4.2e-04 1.2e+03    7    7  129    6    0    6    0  true 
vardim    CG  100 4.628e+05 1.311e+14 4.1e+07 9.0e+13   13   13   24   12    0   12    0  true 
