model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
arglina    CG  100 1.000e+02 5.000e+02 2.1e-14 4.0e+01    3    3    4    2    0    2    0  true 
arglinb    CG   10 4.634e+00 8.659e+06 7.1e-10 6.2e+06    2    2    2    1    0    1    0  true 
arglinc    CG   10 6.135e+00 4.068e+06 9.0e-11 3.1e+06    2    2    2    1    0    1    0  true 
arwhead    CG  100 0.000e+00 2.970e+02 1.0e-06 7.9e+02    6    6   12    5    0    5    0  true 
bdqrtic    CG  100 3.788e+02 2.170e+04 1.1e-02 2.9e+04   11   11   49   10    0   10    0  true 
clplatea    CG 5041 -1.259e-02 0.000e+00 3.2e-07 1.0e-01   28   22 1150   27   14    7    6  true 
clplateb    CG 5041 -5.095e-03 0.000e+00 2.2e-07 1.2e-02    4    4  459    3    1    2    0  true 
clplatec    CG 5041 -5.021e-03 0.000e+00 2.7e-08 9.9e-02    5    5 9374    4    0    4    0  true 
dixon3dq    CG   10 3.377e-30 8.000e+00 7.1e-15 5.7e+00    3    3   18    2    0    2    0  true 
dqdrtic    CG 5000 1.111e-09 9.041e+06 4.3e-04 8.5e+04    8    8   18    7    0    7    0  true 
dqrtic    CG  100 1.426e+01 1.854e+09 1.0e+01 1.4e+07   15   15   41   14    0   14    0  true 
engval1    CG  100 1.091e+02 5.841e+03 8.9e-04 1.2e+03    9    9   26    8    0    8    0  true 
nondquar    CG  100 5.322e-05 1.060e+02 2.5e-04 4.0e+02   48   29  493   47   12   16   19  true 
power    CG 1000 4.741e+03 2.505e+11 2.5e+04 3.7e+10   13   13   52   12    0   12    0  true 
quartc    CG 10000 2.107e+11 1.999e+19 1.4e+08 1.5e+14   21   21   54   20    0   20    0  true 
tridia    CG 10000 1.995e-04 5.000e+07 4.0e-01 1.2e+06    9    9  821    8    0    8    0  true 
vardim    CG  100 4.628e+05 1.311e+14 4.1e+07 9.0e+13   13   13   24   12    0   12    0  true 
