model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
arglina    CR  100 1.000e+02 5.000e+02 6.9e-15 4.0e+01    4    4    6    3    0    3    0  true 
arglinb    CR   10 4.634e+00 8.659e+06 2.9e-10 6.2e+06    2    2    2    1    0    1    0  true 
arglinc    CR   10 6.135e+00 4.068e+06 4.7e-10 3.1e+06    2    2    2    1    0    1    0  true 
arwhead    CR  100 0.000e+00 2.970e+02 1.1e-06 7.9e+02    6    6   12    5    0    5    0  true 
bdqrtic    CR  100 3.788e+02 2.170e+04 1.5e-02 2.9e+04   11   11   49   10    0   10    0  true 
clplatea    CR 5041 -1.259e-02 0.000e+00 5.2e-07 1.0e-01   21   15  681   20    8    6    6  true 
clplateb    CR 5041 -5.095e-03 0.000e+00 3.6e-07 1.2e-02    4    4  414    3    1    2    0  true 
clplatec    CR 5041 -5.021e-03 0.000e+00 7.3e-07 9.9e-02    5    5 10965    4    0    4    0  true 
dixon3dq    CR   10 0.000e+00 8.000e+00 0.0e+00 5.7e+00    5    5   37    4    0    4    0  true 
dqdrtic    CR 5000 6.563e-06 9.041e+06 5.1e-03 8.5e+04    8    8   18    7    0    7    0  true 
dqrtic    CR  100 1.554e+01 1.854e+09 1.0e+01 1.4e+07   15   15   39   14    0   14    0  true 
engval1    CR  100 1.091e+02 5.841e+03 9.3e-04 1.2e+03    9    9   26    8    0    8    0  true 
nondquar    CR  100 3.228e-05 1.060e+02 2.9e-04 4.0e+02   44   27  724   43   12   14   17  true 
power    CR 1000 9.827e+03 2.505e+11 2.8e+04 3.7e+10   13   13   50   12    0   12    0  true 
quartc    CR 10000 5.359e+10 1.999e+19 4.6e+07 1.5e+14   22   22   56   21    0   21    0  true 
tridia    CR 10000 3.361e-02 5.000e+07 4.1e-01 1.2e+06    9    9  675    8    0    8    0  true 
vardim    CR  100 4.628e+05 1.311e+14 4.1e+07 9.0e+13   13   13   24   12    0   12    0  true 
