model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
broydn7d    CG  100 2.439e+01 2.742e+02 4.0e-06 5.5e+01   28   21  421   27   13    7    7  true
brybnd    CG  100 4.651e-08 3.600e+03 2.7e-03 2.7e+03    8    8   19    7    0    7    0  true
chainwoo    CG  100 2.017e+01 3.720e+05 9.2e-03 7.0e+04  185  118 2174  184   48   69   67  true
chnrosnb_mod    CG  100 4.134e-07 1.764e+04 3.3e-03 6.4e+03  173  117 1768  172   59   57   56  true
cosine    CG  100 -9.900e+01 8.688e+01 9.1e-08 7.2e+00   11    8   31   10    4    3    3  true
cragglvy    CG  100 3.227e+01 5.282e+04 3.8e-03 3.9e+04   14   14   92   13    0   13    0  true
curly    CG  100 -1.003e+04 -6.237e-03 7.4e-08 1.3e+01   17   14  598   16    4    9    3  true
dixmaane    CG   99 1.000e+00 7.318e+02 5.6e-05 1.9e+02   12   10   94   11    2    7    2  true
dixmaanf    CG   99 1.000e+00 1.348e+03 8.8e-06 3.4e+02   11   11   71   10    0   10    0  true
dixmaang    CG   99 1.000e+00 2.496e+03 6.0e-05 6.6e+02   11   11   55   10    0   10    0  true
dixmaanh    CG   99 1.000e+00 4.974e+03 1.4e-04 1.3e+03   13   13   58   12    1   11    0  true
dixmaani    CG   99 1.000e+00 6.636e+02 8.6e-05 1.9e+02   10   10  224    9    0    9    0  true
dixmaanj    CG   99 1.000e+00 1.281e+03 4.4e-05 3.3e+02   25   14  519   24    3   10   11  true
dixmaank    CG   99 1.000e+00 2.428e+03 5.4e-05 6.5e+02   25   13  893   24    0   12   12  true
dixmaanl    CG   99 1.000e+00 4.904e+03 1.3e-03 1.3e+03   12   12  115   11    1   10    0  true
dixmaanm    CG   99 1.000e+00 3.143e+02 1.1e-05 8.1e+01    9    9  268    8    0    8    0  true
dixmaann    CG   99 1.000e+00 6.657e+02 5.3e-05 1.8e+02   25   13 1277   24    1   11   12  true
dixmaano    CG   99 1.000e+00 1.196e+03 5.8e-05 3.5e+02   26   14 1383   25    2   11   12  true
dixmaanp    CG   99 1.000e+00 2.343e+03 1.2e-04 7.1e+02   13   13  251   12    1   11    0  true
edensch    CG  100 6.033e+02 1.699e+03 6.0e-06 3.0e+02    9    9   32    8    0    8    0  true
  eg2    CG  100 -9.895e+01 -8.331e+01 1.4e-09 5.3e+01    4    4    6    3    1    2    0  true
errinros_mod    CG  100 7.846e+01 3.140e+05 1.2e-01 1.9e+05   39   23  314   38    6   16   16  true
extrosnb    CG  100 1.866e-03 3.960e+04 9.2e-03 1.2e+04   83   47  461   82   13   33   36  true
fletcbv2    CG  100 -5.140e-01 -5.131e-01 3.9e-07 1.5e-03    3    3  187    2    0    2    0  true
fletcbv3_mod    CG  100 -2.034e+00 -1.879e-02 5.0e-07 1.6e-03   32   26   73   31   20    5    6  true
fletchcr    CG  100 6.333e-13 9.900e+03 8.4e-06 2.8e+02   66   59  764   65   49    9    7  true
fminsrf2    CG  100 1.000e+02 2.504e+03 5.9e-05 8.8e+01   64   60  244   63   50    9    4  true
freuroth    CG  100 1.196e+04 9.956e+04 4.4e-03 7.9e+03   12   11   37   11    4    6    1  true
genhumps    CG  100 1.491e-07 2.537e+06 2.6e-04 8.5e+02 3596 3245 15406 3595 2901  343  351  true
genrose    CG  100 1.000e+00 4.051e+02 1.5e-06 1.3e+02  133  106  902  132   76   29   27  true
genrose_nash    CG  100 1.000e+00 4.041e+02 6.4e-05 1.3e+02  164  128 1100  163   89   38   36  true
indef_mod    CG  100 -9.922e+03 9.167e+01 1.5e-06 1.1e+01   79   74  232   78   64    9    5  true
liarwhd    CG  100 1.475e-07 5.850e+04 8.3e-04 1.2e+04   12   12   31   11    0   11    0  true
morebv    CG  100 7.068e-12 5.010e-01 1.1e-06 3.5e+00   11   11 1424   10    0   10    0  true
ncb20    CG  100 1.671e+02 1.820e+02 1.3e-06 3.2e+01   33   25  375   32   15    9    8  true
ncb20b    CG  100 1.967e+02 2.000e+02 2.0e-05 3.4e+01   27   18 1016   26   12    5    9  true
noncvxu2    CG  100 2.323e+02 2.640e+06 2.1e-03 9.5e+03   42   34  332   41   22   11    8  true
noncvxun    CG  100 2.329e+02 2.727e+06 7.6e-03 1.0e+04   33   26  200   32   16    9    7  true
nondia    CG  100 1.969e+00 1.010e+06 4.0e-01 2.0e+06    3    3    4    2    0    2    0  true
penalty2    CG  100 9.710e+04 1.688e+06 5.5e-01 1.5e+06   13   13   41   12    0   12    0  true
powellsg    CG  100 9.898e-05 3.158e+04 1.0e-02 1.5e+04   12   12   55   11    0   11    0  true
schmvett    CG  100 -2.940e+02 -1.891e+02 7.2e-06 2.0e+01   22   18  106   21   12    5    4  true
scosine    CG  100 -9.900e+01 8.688e+01 5.8e-04 8.1e+02  336  301 27244  335  141  159   35  true
sinquad    CG  100 4.396e-05 2.313e+02 2.2e-04 2.4e+02  108   69  348  107   31   37   39  true
sparsine    CG  100 4.652e-08 2.089e+04 1.3e-03 8.5e+03   18   16  211   17   12    3    2  true
sparsqur    CG  100 7.228e-06 1.420e+03 6.7e-04 1.3e+03   13   13   42   12    0   12    0  true
srosenbr    CG  100 2.758e-06 1.210e+03 1.5e-03 1.6e+03   35   23   93   34    7   15   12  true
tointgss    CG  100 9.706e+00 8.916e+02 2.7e-05 5.9e+01   15    8   60   14    2    5    7  true
tquartic    CG  100 9.518e-16 8.100e-01 6.2e-09 1.8e+00   19   15   45   18    8    6    4  true
woods    CG  100 1.000e+00 1.805e+05 1.6e-02 3.4e+04   61   39  272   60   14   24   22  true
