model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
broydn7d    CR  100 2.440e+01 2.742e+02 3.3e-05 5.5e+01   22   18  280   21    8    9    4  true
brybnd    CR  100 5.222e-08 3.600e+03 2.7e-03 2.7e+03    8    8   19    7    0    7    0  true
chainwoo    CR  100 7.933e+01 3.720e+05 4.2e-02 7.0e+04  230  143 3284  229   56   86   87  true
chnrosnb_mod    CR  100 2.487e-08 1.764e+04 6.7e-04 6.4e+03  184  122 1901  183   56   65   62  true
cosine    CR  100 -9.900e+01 8.688e+01 1.2e-07 7.2e+00   11    8   29   10    4    3    3  true
cragglvy    CR  100 3.227e+01 5.282e+04 5.4e-03 3.9e+04   14   14   84   13    1   12    0  true
curly    CR  100 -1.003e+04 -6.237e-03 9.8e-06 1.3e+01   18   15  517   17    4   10    3  true
dixmaane    CR   99 1.000e+00 7.318e+02 1.8e-04 1.9e+02    9    9   60    8    1    7    0  true
dixmaanf    CR   99 1.000e+00 1.348e+03 7.9e-06 3.4e+02   11   11   67   10    0   10    0  true
dixmaang    CR   99 1.000e+00 2.496e+03 8.0e-05 6.6e+02   11   11   59   10    0   10    0  true
dixmaanh    CR   99 1.000e+00 4.974e+03 4.5e-05 1.3e+03   12   12   62   11    0   11    0  true
dixmaani    CR   99 1.000e+00 6.636e+02 7.2e-05 1.9e+02   10   10  189    9    0    9    0  true
dixmaanj    CR   99 1.000e+00 1.281e+03 1.4e-04 3.3e+02   12   12  164   11    0   11    0  true
dixmaank    CR   99 1.000e+00 2.428e+03 4.1e-04 6.5e+02   12   12  128   11    0   11    0  true
dixmaanl    CR   99 1.000e+00 4.904e+03 9.5e-04 1.3e+03   13   13  124   12    2   10    0  true
dixmaanm    CR   99 1.000e+00 3.143e+02 1.9e-05 8.1e+01    9    9  212    8    0    8    0  true
dixmaann    CR   99 1.000e+00 6.657e+02 1.8e-04 1.8e+02   24   12 1032   23    1   10   12  true
dixmaano    CR   99 1.000e+00 1.196e+03 1.8e-05 3.5e+02   13   13  200   12    0   12    0  true
dixmaanp    CR   99 1.000e+00 2.343e+03 2.5e-04 7.1e+02   13   13  156   12    0   12    0  true
edensch    CR  100 6.033e+02 1.699e+03 1.6e-05 3.0e+02    9    9   30    8    0    8    0  true
  eg2    CR  100 -9.895e+01 -8.331e+01 1.4e-09 5.3e+01    4    4    6    3    1    2    0  true
errinros_mod    CR  100 7.858e+01 3.140e+05 1.4e-01 1.9e+05   30   18  220   29    4   13   12  true
extrosnb    CR  100 1.595e-03 3.960e+04 7.8e-03 1.2e+04   86   49  518   85   15   33   37  true
fletcbv2    CR  100 -5.140e-01 -5.131e-01 4.2e-07 1.5e-03    3    3  174    2    0    2    0  true
fletcbv3_mod    CR  100 -2.047e+00 -1.879e-02 1.6e-08 1.6e-03   43   39  103   42   34    4    4  true
fletchcr    CR  100 1.140e-08 9.900e+03 2.4e-04 2.8e+02   56   50  553   55   41    8    6  true
fminsrf2    CR  100 1.000e+02 2.504e+03 2.6e-05 8.8e+01   39   35  294   38   26    8    4  true
freuroth    CR  100 1.196e+04 9.956e+04 4.4e-03 7.9e+03   10   10   32    9    3    6    0  true
genhumps    CR  100 3.049e-09 2.537e+06 3.0e-05 8.5e+02 3370 3093 15288 3369 2816  276  277  true
genrose    CR  100 1.000e+00 4.051e+02 1.6e-06 1.3e+02   88   72  864   87   51   20   16  true
genrose_nash    CR  100 1.000e+00 4.041e+02 4.1e-05 1.3e+02   96   77  931   95   54   22   19  true
indef_mod    CR  100 -1.005e+04 9.167e+01 4.2e-07 1.1e+01   26   21   99   25   12    8    5  true
liarwhd    CR  100 1.522e-07 5.850e+04 8.4e-04 1.2e+04   12   12   31   11    0   11    0  true
morebv    CR  100 5.326e-07 5.010e-01 4.1e-06 3.5e+00    8    8  758    7    0    7    0  true
ncb20    CR  100 1.671e+02 1.820e+02 3.7e-07 3.2e+01   34   25  406   33   13   11    9  true
ncb20b    CR  100 1.967e+02 2.000e+02 2.1e-05 3.4e+01   28   19 1088   27   13    5    9  true
noncvxu2    CR  100 2.336e+02 2.640e+06 8.2e-03 9.5e+03   36   30  313   35   20    9    6  true
noncvxun    CR  100 2.349e+02 2.727e+06 8.6e-04 1.0e+04   30   26  260   29   18    7    4  true
nondia    CR  100 1.969e+00 1.010e+06 4.0e-01 2.0e+06    3    3    4    2    0    2    0  true
penalty2    CR  100 9.710e+04 1.688e+06 4.9e-01 1.5e+06   13   13   42   12    0   12    0  true
powellsg    CR  100 9.749e-05 3.158e+04 9.9e-03 1.5e+04   12   12   51   11    0   11    0  true
schmvett    CR  100 -2.940e+02 -1.891e+02 1.4e-07 2.0e+01    9    9   45    8    5    3    0  true
scosine    CR  100 -9.900e+01 8.688e+01 7.7e-04 8.1e+02  262  242 38423  261   56  185   20  true
sinquad    CR  100 3.192e-05 2.313e+02 1.7e-04 2.4e+02   94   63  305   93   33   29   31  true
sparsine    CR  100 7.882e-06 2.089e+04 6.4e-03 8.5e+03   14   12  144   13    7    4    2  true
sparsqur    CR  100 8.868e-06 1.420e+03 7.1e-04 1.3e+03   13   13   42   12    0   12    0  true
srosenbr    CR  100 1.193e-06 1.210e+03 9.8e-04 1.6e+03   39   24  105   38    6   17   15  true
tointgss    CR  100 9.706e+00 8.916e+02 6.4e-06 5.9e+01   15    8   58   14    2    5    7  true
tquartic    CR  100 1.399e-21 8.100e-01 1.5e-09 1.8e+00   18   14   43   17    6    7    4  true
woods    CR  100 1.001e+00 1.805e+05 3.0e-02 3.4e+04   66   41  293   65   12   28   25  true
