model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
ARGLINA    CG  200 2.000e+02 1.000e+03 1.8e-13 5.7e+01    3    3    4    2    0    2    0  true
ARGLINB    CG  200 9.963e+01 8.651e+15 9.8e-03 1.4e+15    3    3    4    2    0    2    0  true
ARGLINC    CG  200 1.011e+02 8.353e+15 4.6e-02 1.4e+15    3    3    4    2    0    2    0  true
ARWHEAD    CG 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04    6    6   11    5    0    5    0  true
BDQRTIC    CG 5000 2.001e+04 1.129e+06 8.4e-01 1.5e+06   10   10   29    9    0    9    0  true
BOXPOWER    CG 20000 4.736e-02 1.764e+05 6.9e-02 1.7e+05   12    7   29   11    2    4    5  true
  BOX    CG 10000 -1.865e+03 0.000e+00 1.9e-07 5.0e+01   10    9   25    9    2    6    1  true
BROWNAL    CG  200 2.037e-08 2.010e+06 2.8e-02 5.7e+05    2    2    2    1    0    1    0  true
BROYDN7D    CG 5000 1.825e+03 1.760e+04 4.2e-05 1.1e+03  480  472 2345  479  462    9    8  true
BRYBND    CG 5000 6.154e-07 1.249e+05 4.3e-03 7.8e+03   10   10   57    9    1    8    0  true
CHAINWOO    CG 4000 2.856e+03 1.445e+07 9.9e-02 4.2e+05 4939 3223 46889 4938 1506 1716 1716  true
CHNROSNB    CG   50 2.153e-07 7.636e+03 2.7e-03 3.6e+03   95   58  810   94   19   38   37  true
CHNRSNBM    CG   50 4.507e-10 8.633e+03 4.7e-04 4.4e+03  102   69  955  101   33   35   33  true
COSINE    CG 10000 -9.999e+03 8.775e+03 2.5e-05 7.2e+01   12   12   26   11    7    4    0  true
CRAGGLVY    CG 5000 1.688e+03 2.749e+06 1.1e-01 2.8e+05   13   13   62   12    0   12    0  true
CURLY10    CG 10000 -1.003e+06 -6.306e-01 5.1e-05 1.3e+02   24   20 57435   23   10    9    4  true
CURLY20    CG 10000 -1.003e+06 -1.344e+00 1.7e-04 3.0e+02   22   18 64559   21    8    9    4  true
CURLY30    CG 10000 -1.003e+06 -2.190e+00 4.2e-04 5.1e+02   18   15 59948   17    6    8    3  true
DECONVU    CG   63 4.700e-08 1.104e+02 4.1e-06 1.1e+02   26   16  319   25    7    8   10  true
DIXMAANA    CG 3000 1.000e+00 2.850e+04 4.7e-04 1.2e+03    9    9   19    8    1    7    0  true
