model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
ARGLINA    CR  200 2.000e+02 1.000e+03 1.8e-13 5.7e+01    3    3    4    2    0    2    0  true
ARGLINB    CR  200 9.963e+01 8.651e+15 4.2e-02 1.4e+15    3    3    4    2    0    2    0  true
ARGLINC    CR  200 1.011e+02 8.353e+15 3.1e-03 1.4e+15    3    3    4    2    0    2    0  true
ARWHEAD    CR 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04    6    6   11    5    0    5    0  true
BDQRTIC    CR 5000 2.001e+04 1.129e+06 9.2e-01 1.5e+06   10   10   29    9    0    9    0  true
BOXPOWER    CR 20000 4.736e-02 1.764e+05 6.9e-02 1.7e+05   11    6   22   10    2    3    5  true
  BOX    CR 10000 -1.865e+03 0.000e+00 3.2e-07 5.0e+01    7    7   17    6    3    3    0  true
BROWNAL    CR  200 2.037e-08 2.010e+06 2.8e-02 5.7e+05    2    2    2    1    0    1    0  true
BROYDN7D    CR 5000 1.836e+03 1.760e+04 1.3e-04 1.1e+03  419  413 2166  418  405    7    6  true
BRYBND    CR 5000 6.074e-08 1.249e+05 1.1e-03 7.8e+03   11   11   67   10    1    9    0  true
CHAINWOO    CR 4000 2.503e+03 1.445e+07 1.4e-01 4.2e+05 5386 3345 66728 5385 1303 2041 2041  true
CHNROSNB    CR   50 3.192e-06 7.636e+03 2.6e-03 3.6e+03   95   53  973   94    7   45   42  true
CHNRSNBM    CR   50 4.924e-08 8.633e+03 9.7e-04 4.4e+03  101   68  965  100   31   36   33  true
COSINE    CR 10000 -9.999e+03 8.775e+03 3.0e-05 7.2e+01   12   12   26   11    7    4    0  true
CRAGGLVY    CR 5000 1.688e+03 2.749e+06 1.1e-01 2.8e+05   13   13   57   12    0   12    0  true
CURLY10    CR 10000 -1.003e+06 -6.306e-01 3.9e-05 1.3e+02   24   21 48884   23    6   14    3  true
CURLY20    CR 10000 -1.003e+06 -1.344e+00 2.6e-04 3.0e+02   24   21 47041   23    6   14    3  true
CURLY30    CR 10000 -1.003e+06 -2.190e+00 7.5e-05 5.1e+02   26   22 48395   25    5   16    4  true
DECONVU    CR   63 5.824e-08 1.104e+02 1.6e-06 1.1e+02   20   13  257   19    5    7    7  true
DIXMAANA    CR 3000 1.000e+00 2.850e+04 5.5e-04 1.2e+03    9    9   19    8    2    6    0  true
DIXMAANB    CR 3000 1.000e+00 4.724e+04 1.8e-03 2.0e+03    8    8   14    7    0    7    0  true
DIXMAANC    CR 3000 1.000e+00 8.248e+04 1.6e-04 3.7e+03   10   10   18    9    0    9    0  true
DIXMAAND    CR 3000 1.000e+00 1.586e+05 5.0e-03 7.6e+03   10   10   18    9    0    9    0  true
DIXMAANE    CR 3000 1.000e+00 2.209e+04 3.8e-05 1.1e+03   11   11  204   10    0   10    0  true
DIXMAANF    CR 3000 1.000e+00 4.104e+04 1.1e-03 1.9e+03   12   12   91   11    0   11    0  true
DIXMAANG    CR 3000 1.001e+00 7.607e+04 3.2e-03 3.6e+03   12   12   46   11    0   11    0  true
