model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
brownden    CG    4 8.582e+04 7.927e+06 1.2e-01 2.1e+06    9    9   29    8    1    7    0  true
cliff    CG    2 4.032e+02 4.852e+08 1.1e+04 1.4e+10   15   15   28   14    0   14    0  true
clplatea    CG 5041 -1.259e-02 0.000e+00 3.2e-07 1.0e-01   28   22 1150   27   14    7    6  true
clplateb    CG 5041 -5.095e-03 0.000e+00 2.2e-07 1.2e-02    4    4  459    3    1    2    0  true
clplatec    CG 5041 -5.021e-03 0.000e+00 2.7e-08 9.9e-02    5    5 9374    4    0    4    0  true
nasty    CG    2 2.674e-32 5.000e-01 6.5e-07 1.0e+00    2    2    3    1    0    1    0  true
palmer1c    CG    8 2.989e+03 3.453e+08 5.5e+01 5.2e+08    4    4   12    3    0    3    0  true
palmer1d    CG    7 2.790e+01 2.873e+07 3.6e-01 4.4e+07    6    6   22    5    0    5    0  true
palmer2c    CG    8 9.807e+01 2.689e+07 4.7e+00 3.9e+07    4    4   12    3    0    3    0  true
palmer3c    CG    8 5.431e+01 8.122e+06 3.4e+00 1.1e+07    4    4   12    3    0    3    0  true
palmer4c    CG    8 6.115e+01 8.094e+06 3.6e+00 1.1e+07    4    4   12    3    0    3    0  true
palmer5c    CG    6 2.128e+00 2.549e+04 5.1e-04 1.1e+03    7    7   20    6    0    6    0  true
palmer5d    CG    4 8.734e+01 2.226e+04 8.5e-13 2.0e+03    5    5   15    4    0    4    0  true
palmer6c    CG    8 9.721e-01 7.722e+05 2.5e-02 1.1e+06    4    4   16    3    0    3    0  true
palmer7c    CG    8 4.374e+01 3.205e+06 2.3e+00 4.7e+06    4    4   13    3    0    3    0  true
palmer8c    CG    8 2.238e+01 8.503e+05 1.1e+00 1.2e+06    4    4   12    3    0    3    0  true
beale    CG    2 4.557e-01 1.420e+01 2.7e-05 2.8e+01  242  162  635  241   80   81   80  true
brownbs    CG    2 0.000e+00 1.000e+12 0.0e+00 2.0e+06   27   25   61   26    9   15    2  true
chnrosnb_mod    CG  100 4.134e-07 1.764e+04 3.3e-03 6.4e+03  173  117 1768  172   59   57   56  true
errinros_mod    CG  100 7.846e+01 3.140e+05 1.2e-01 1.9e+05   39   23  314   38    6   16   16  true
fletcbv3_mod    CG  100 -2.034e+00 -1.879e-02 5.0e-07 1.6e-03   32   26   73   31   20    5    6  true
genrose_nash    CG  100 1.000e+00 4.041e+02 6.4e-05 1.3e+02  164  128 1100  163   89   38   36  true
meyer3    CG    3 1.125e+05 1.694e+09 7.1e+03 8.7e+10   14   10   34   13    4    5    4  true
scosine    CG  100 -9.900e+01 8.688e+01 5.8e-04 8.1e+02  336  301 27244  335  141  159   35  true
