model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g  #Hv  #it #s_it #vs_it #rej_it optimal
brownden    CR    4 8.582e+04 7.927e+06 1.9e-01 2.1e+06    9    9   27    8    1    7    0  true
cliff    CR    2 4.032e+02 4.852e+08 1.1e+04 1.4e+10   15   15   28   14    0   14    0  true
clplatea    CR 5041 -1.259e-02 0.000e+00 5.2e-07 1.0e-01   21   15  681   20    8    6    6  true
clplateb    CR 5041 -5.095e-03 0.000e+00 3.6e-07 1.2e-02    4    4  414    3    1    2    0  true
clplatec    CR 5041 -5.021e-03 0.000e+00 7.3e-07 9.9e-02    5    5 10965    4    0    4    0  true
nasty    CR    2 4.136e-25 5.000e-01 1.3e-06 1.0e+00    2    2    3    1    0    1    0  true
palmer1c    CR    8 2.991e+03 3.453e+08 5.5e+01 5.2e+08    4    4   11    3    0    3    0  true
palmer1d    CR    7 2.791e+01 2.873e+07 3.5e-01 4.4e+07    5    5   19    4    0    4    0  true
palmer2c    CR    8 9.810e+01 2.689e+07 4.7e+00 3.9e+07    4    4   11    3    0    3    0  true
palmer3c    CR    8 5.437e+01 8.122e+06 3.4e+00 1.1e+07    4    4   11    3    0    3    0  true
palmer4c    CR    8 6.123e+01 8.094e+06 3.5e+00 1.1e+07    4    4   11    3    0    3    0  true
palmer5c    CR    6 2.128e+00 2.549e+04 4.7e-04 1.1e+03    7    7   24    6    0    6    0  true
palmer5d    CR    4 8.734e+01 2.226e+04 7.1e-04 2.0e+03    8    8   25    7    0    7    0  true
palmer6c    CR    8 1.810e+01 7.722e+05 7.8e-01 1.1e+06    3    3    8    2    0    2    0  true
palmer7c    CR    8 4.446e+01 3.205e+06 1.8e+00 4.7e+06    4    4   12    3    0    3    0  true
palmer8c    CR    8 2.251e+01 8.503e+05 1.1e+00 1.2e+06    4    4   12    3    0    3    0  true
beale    CR    2 4.557e-01 1.420e+01 2.7e-05 2.8e+01  242  163  634  241   82   80   79  true
brownbs    CR    2 0.000e+00 1.000e+12 0.0e+00 2.0e+06   17   17   37   16    1   15    0  true
chnrosnb_mod    CR  100 2.487e-08 1.764e+04 6.7e-04 6.4e+03  184  122 1901  183   56   65   62  true
errinros_mod    CR  100 7.858e+01 3.140e+05 1.4e-01 1.9e+05   30   18  220   29    4   13   12  true
fletcbv3_mod    CR  100 -2.047e+00 -1.879e-02 1.6e-08 1.6e-03   43   39  103   42   34    4    4  true
genrose_nash    CR  100 1.000e+00 4.041e+02 4.1e-05 1.3e+02   96   77  931   95   54   22   19  true
meyer3    CR    3 1.125e+05 1.694e+09 7.1e+03 8.7e+10   14   10   34   13    4    5    4  true
scosine    CR  100 -9.900e+01 8.688e+01 7.7e-04 8.1e+02  262  242 38423  261   56  185   20  true
